id,name,description,card_type,card_data,field_notes,is_builtin,created_at
1,Enkel Minion — 2/2 utan förmåga,Den enklaste möjliga minionen. Bra startpunkt. Byt stats och klass efter behov.,minion,"{""mana"":2,""attack"":2,""health"":2,""rarity"":""common"",""subtype"":"""",""card_class"":""Neutral"",""description"":""""}","{""mana"":""Kostnaden för att spela kortet. Tumregel: en \""rättvis\"" 2/2 kostar 2 mana."",""attack"":""Skada minionen gör varje attack. 0 = kan inte anfalla effektivt."",""health"":""HP-poäng. Minst 1. Noll = dör."",""rarity"":""common = dyker upp ofta i draft. legendary = max 1 kopia, designas som unika gamechangers."",""subtype"":""Undertyp visas under kortnamnet, t.ex. \""Beast\"" eller \""Undead\"". Lämna tomt om ingen."",""card_class"":""Neutral = alla klasser kan spela den. Dark, Wasteland, The Blue, Forest = klassspecifik.""}",true,2026-04-20 15:38:46.852159+00
2,Minion med FLYING,Flying-minion som bara kan blockas av andra FLYING eller REACH. Bra aggro-hottar.,minion,"{""mana"":2,""attack"":2,""health"":1,""rarity"":""common"",""subtype"":""Beast"",""keywords"":""FLYING"",""card_class"":""Dark"",""description"":""Flying.""}","{""attack"":""2 attack med 1 health = fragil men hotfull. Svårt att blocka utan FLYING/REACH."",""subtype"":""Beast = tematisk för flygande djur. Kan ge synergier med beastsynergikort."",""keywords"":""FLYING = kan bara blockas av FLYING eller REACH. Skriv alltid VERSALER. Flera keywords: \""FLYING, RAPID\""."",""description"":""Kortets regeltext. Skriv ut keywords här med stor bokstav för tydlighet: \""Flying.\""""}",true,2026-04-20 15:38:46.852159+00
3,Minion med RAPID (anfaller direkt),Kan anfalla omedelbart när den spelas — går direkt till FRONT_LINE utan att vänta en tur.,minion,"{""mana"":3,""attack"":3,""health"":2,""rarity"":""uncommon"",""subtype"":"""",""keywords"":""RAPID"",""card_class"":""Wasteland"",""description"":""Rapid.""}","{""mana"":""3 mana för en 3/2 med RAPID är balanserat — tempovärdet är högt."",""attack"":""3 attack = kan döda de flesta 2-mana-minions direkt. Bra för att ta board control."",""keywords"":""RAPID = ingen \""summoning sickness\"". Anfaller direkt på den tur den spelas.""}",true,2026-04-20 15:38:46.852159+00
4,"Tank-minion (hög health, låg attack)",Defensiv minion som är svår att ta bort. Blockerar hot och absorberar skada.,minion,"{""mana"":3,""attack"":1,""health"":6,""rarity"":""common"",""subtype"":"""",""card_class"":""Forest"",""description"":""""}","{""mana"":""3 mana 1/6 är en klassisk \""wall\""-minion. Bra i defensiva decks."",""attack"":""1 attack = minimal offensiv kraft. Designad för att blocka, inte anfalla."",""health"":""6 health för 3 mana = extremt defensivt. Kostar fienden mycket resurser att ta bort.""}",true,2026-04-20 15:38:46.852159+00
5,Activate — Gör 3 skada (Soul Weaver),Aktiverbar förmåga: Spelaren klickar manuellt och betalar 1 mana för att göra 2 skada mot valfritt mål.,minion,"{""mana"":4,""attack"":3,""health"":4,""rarity"":""rare"",""subtype"":""Specter"",""keywords"":""VAMPIRISM"",""ability_id"":""deal_damage"",""card_class"":""Dark"",""description"":""Activate (1): Deal 2 damage to any target."",""ability_cost"":1,""ability_value"":2,""ability_trigger"":""activate"",""ability_target_mode"":""any_target"",""ability_targeting_mode"":""explicit""}","{""keywords"":""VAMPIRISM = läker ägaren med lika mycket skada som minionen gör. Kombineras fint med activate."",""ability_id"":""deal_damage = gör X skada mot ett mål."",""ability_cost"":""1 = kostar 1 mana ATT AKTIVERA, utöver kortets spelkostnad på 4. Totalt: 4 mana att spela + 1 mana att aktivera."",""ability_value"":""2 = skadan som görs. Öka för kraftigare förmåga (och höj mana/cost)."",""ability_trigger"":""activate = spelaren klickar manuellt och betalar kostnaden. Kan bara aktiveras en gång per tur och INTE samma tur minionen anföll."",""ability_target_mode"":""any_target = spelaren väljer minion ELLER hjälte fritt."",""ability_targeting_mode"":""explicit = spelaren klickar manuellt på målet.""}",true,2026-04-20 15:38:46.852159+00
6,Activate — Läk hjälten (Discard-kostnad),Aktiveras genom att kasta ett kort istället för mana. Kraftfull men riskabel.,minion,"{""mana"":3,""attack"":2,""health"":4,""rarity"":""uncommon"",""subtype"":""Shaman"",""ability_id"":""heal"",""card_class"":""Dark"",""ability_arg"":""cost:discard:1"",""description"":""Activate (discard 1): Restore 4 health to your hero."",""ability_cost"":0,""ability_value"":4,""ability_trigger"":""activate"",""ability_target_mode"":""friendly_hero"",""ability_targeting_mode"":""auto""}","{""ability_id"":""heal = återställer X HP till ett mål."",""ability_arg"":""cost:discard:1 = spelaren måste kasta 1 kort (väljer själv vilket) för att aktivera. Sätt ability_cost till 0 när du använder discard-kostnad."",""ability_cost"":""0 = ingen manakostnad. Kostnaden är istället ability_arg (discard 1)."",""ability_value"":""4 = mängden HP som läks."",""ability_target_mode"":""friendly_hero = läker bara din hjälte."",""ability_targeting_mode"":""auto = inget manuellt val behövs. Läker automatiskt rätt mål.""}",true,2026-04-20 15:38:46.852159+00
7,Activate — Dra ett kort,Betala 1 mana för att dra ett kort. Ger kortdragning på en stabil minion.,minion,"{""mana"":3,""attack"":1,""health"":3,""rarity"":""uncommon"",""subtype"":""Scholar"",""ability_id"":""draw_card"",""card_class"":""The Blue"",""description"":""Activate (1): Draw a card."",""ability_cost"":1,""ability_value"":1,""ability_trigger"":""activate"",""ability_target_mode"":""self"",""ability_targeting_mode"":""auto""}","{""ability_id"":""draw_card = drar X kort från ditt deck till handen."",""ability_cost"":""1 = betala 1 mana extra per dragning. Balanserat."",""ability_value"":""1 = dra ett kort. Sätt till 2 för dubbeldragning (höj cost)."",""ability_target_mode"":""self = kortet drar till ägaren. Inget målval visas."",""ability_targeting_mode"":""auto = ingen dialog. Drar direkt.""}",true,2026-04-20 15:38:46.852159+00
8,On_play — Slumpmässig skada (Battlecry),Triggar automatiskt vid inläggning och gör 2 skada mot en slumpmässig fiendes minion.,minion,"{""mana"":3,""attack"":2,""health"":3,""rarity"":""uncommon"",""ability_id"":""deal_damage"",""card_class"":""Wasteland"",""description"":""Battlecry: Deal 2 damage to a random enemy minion."",""ability_cost"":0,""ability_value"":2,""ability_trigger"":""on_play"",""ability_target_mode"":""enemy_minion"",""ability_targeting_mode"":""random""}","{""ability_value"":""2 = skada. Lagom mot 2-mana-minions. 3 dödar de flesta 3-hälsa-minions."",""ability_trigger"":""on_play = triggar direkt när kortet spelas. Inga extra kostnader — effekten ingår i grundkostnaden."",""ability_target_mode"":""enemy_minion = bara fiendens minions är giltiga mål. Hjältar träffas inte."",""ability_targeting_mode"":""random = servern väljer ett slumpmässigt giltigt mål automatiskt. Spelaren klickar ingenting.""}",true,2026-04-20 15:38:46.852159+00
9,On_death — Dra ett kort (Deathrattle),Deathrattle: kortet drar ett kort när minionen dör. Belönar fienden för att ta bort den.,minion,"{""mana"":3,""attack"":2,""health"":2,""rarity"":""rare"",""subtype"":""Specter"",""ability_id"":""draw_card"",""card_class"":""Wasteland"",""description"":""Deathrattle: Draw a card."",""ability_cost"":0,""ability_value"":1,""ability_trigger"":""on_death"",""ability_targeting_mode"":""auto""}","{""mana"":""3 mana 2/2 med deathrattle är fair — effekten kompenserar de svaga statsarna."",""ability_id"":""draw_card = drar kort till ägarens hand."",""ability_value"":""1 = ett kort. Sätt 2 för kraftig deathrattle (höj manakostnad)."",""ability_trigger"":""on_death = triggar när minionen dör. Löser sig efter stridsupplösning — minionen är redan borta."",""ability_targeting_mode"":""auto = inget val. Kortet dras direkt.""}",true,2026-04-20 15:38:46.852159+00
10,On_attack — Vampirism-trigger,Varje gång minionen anfaller triggar förmågan. Här: läker ägaren för 1 per attack.,minion,"{""mana"":3,""attack"":3,""health"":3,""rarity"":""rare"",""ability_id"":""heal"",""card_class"":""Dark"",""description"":""On Attack: Restore 1 health to your hero."",""ability_cost"":0,""ability_value"":1,""ability_trigger"":""on_attack"",""ability_target_mode"":""friendly_hero"",""ability_targeting_mode"":""auto""}","{""ability_id"":""heal = läker målet."",""ability_value"":""1 = läker 1 HP per attack. Litet men konstant. Öka för starkare effekt."",""ability_trigger"":""on_attack = triggar VARJE GÅNG minionen anfaller — inte bara en gång. Kan stapla upp läkning."",""ability_target_mode"":""friendly_hero = läker din hjälte varje gång minionen anfaller.""}",true,2026-04-20 15:38:46.852159+00
